DEBUG | 17:26:14 76285 [RadioIf] Started Tx (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864372 rxSNR=8.75 rxRSSI=-32 hop
DEBUG | 17:26:14 76285 [RadioIf] 0 packets remain in the TX queue
DEBUG | 17:26:14 76285 [RadioIf] Packet TX: 321ms
DEBUG | 17:26:14 76285 [RadioIf] Completed sending (id=0xc5b14d94 fr=0x6c743130 to=0xffffffff, transport = 1, WantAck=0, HopLim=0 Ch=0xec encrypted len=50 rxtime=1785864372 rxSNR=8.75 rxRSSI=
INFO  | 17:26:15 76286 [GPS] GPS power state move from HARDSLEEP to ACTIVE
INFO  | 17:26:19 76291 [DeviceTelemetry] Send: air_util_tx=1.281778, channel_utilization=1.070000, battery_level=101, voltage=-0.001000, uptime=76291
DEBUG | 17:26:20 76291 [DeviceTelemetry] Partially randomized packet id 2450257193
DEBUG | 17:26:20 76291 [DeviceTelemetry] updateTelemetry LOCAL
DEBUG | 17:26:20 76291 [DeviceTelemetry] Node status update: 2 online, 3 total
INFO  | 17:26:20 76291 [DeviceTelemetry] Send packet to mesh
DEBUG | 17:26:20 76291 [DeviceTelemetry] Ignore update from self
DEBUG | 17:26:20 76291 [DeviceTelemetry] handleReceived(LOCAL) (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864380 priority=10)
DEBUG | 17:26:20 76291 [DeviceTelemetry] No modules interested in portnum=67, src=LOCAL
INFO  | 17:26:20 76291 [DeviceTelemetry] Packet History - insert: Reusing slot aged 4411.517s TRACE OLDEST SLOT
DEBUG | 17:26:20 76291 [DeviceTelemetry] Use AES256 key!
DEBUG | 17:26:20 76291 [DeviceTelemetry] enqueue for send (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0xec encrypted len=50 rxtime=1785864380 hopStart=1 relay=0x
DEBUG | 17:26:20 76291 [DeviceTelemetry] txGood=2747,txRelay=1335,rxGood=2693,rxBad=21
DEBUG | 17:26:20 76291 [DeviceTelemetry] Use channel 0 (hash 0xec)
DEBUG | 17:26:20 76291 [DeviceTelemetry] Use AES256 key!
DEBUG | 17:26:20 76291 [DeviceTelemetry] decoded message (id=0x920bf529 fr=0xbb8106c4 to=0xffffffff, transport = 0, WantAck=0, HopLim=1 Ch=0x0 Portnum=67 rxtime=1785864380 hopStart=1 relay=0xc4 prior
INFO  | 17:26:20 76291 Tell client we have new packets 4331
DEBUG | 17:26:20 76291 [Serial] FromRadio=STATE_SEND_PACKETS
DEBUG | 17:26:20 76291 [Serial] FromRadio=STATE_SEND_PACKETS
